Model,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2
XGBoost,0.2913386821746826,0.37407092398047,0.9749767184257507,0.33545586466789246,0.4491545755738257,0.9632344245910645
LightGBM,0.3280369505755075,0.44766209219064146,0.9641625886958182,0.3367419493995345,0.4648889752011038,0.9606134455735177
Gradient Boosting,0.4453881355228801,0.6019648354464704,0.9351995181636648,0.4431937305066372,0.5995739805050083,0.9344858589800501
Random Forest,0.14571124999999996,0.24504892368667935,0.9892615502414426,0.3885665,0.6421793168578385,0.9248442655065969
Decision Tree,0.0,0.0,1.0,0.5002,0.9360555539069249,0.8403191834728554
Ridge,0.8769623422183176,1.1555892818156386,0.7611952279594472,0.8664045438025157,1.1348379421599213,0.7652977835251555
Régression Linéaire,0.8769628899620507,1.1555892815606372,0.7611952280648402,0.8664055190982807,1.1348385067540971,0.7652975499913045
KNN Regressor,0.6152125,0.9221651153670909,0.8479265602367891,0.7614200000000001,1.1351828046618748,0.7651551159443739
ElasticNet,1.393532436552623,1.7430330539958945,0.45669057776012634,1.3767553445184881,1.7170103716045666,0.46272660815086075
Lasso,1.4935191530264158,1.8587780706886916,0.3821385899133406,1.4777383683516556,1.8332957567707788,0.3874880552992668
